order_id,client_first_name,client_last_name,client_email,client_gender,client_birthdate,client_ip_address,purchase_date,functional_unit_id,product_rating,product_category,product_price,product_id
808,Herminia,Cottrell,hcottrellmf@bravesites.com,Female,07/03/2011,253.138.224.89,29/01/2019,5,,Music,"€26,35",100
554,David,Wrassell,dwrassellfd@nymag.com,Male,05/03/1992,198.50.163.143,20/01/2019,5,4.0,Books,"€18,49",24
439,Hubie,Boulstridge,hboulstridgec6@vkontakte.ru,Male,30/03/1970,43.95.126.173,10/01/2019,10,3.0,Health,"€24,98",70
157,Waly,Evered,wevered4c@flavors.me,Female,08/06/1935,101.74.41.217,15/01/2019,6,4.0,Home,"€0,32",84
194,Livvyy,Swainger,lswainger5d@linkedin.com,Female,17/05/1971,131.174.165.21,31/01/2019,1,,Clothing,"€15,68",33
663,Goran,Groger,ggrogerie@sohu.com,Male,03/01/1950,16.158.153.85,27/01/2019,8,,Music,"€18,17",100
32,Clareta,Walklett,cwalklettv@ifeng.com,Female,26/08/1997,173.183.32.92,11/01/2019,5,1.0,Home,"€29,82",84
927,Kamila,Gurry,kgurrypq@weather.com,Female,17/04/1994,97.255.116.214,17/01/2019,10,4.0,Home,"€4,09",82
708,Albert,Fontelles,afontellesjn@ehow.com,Male,25/01/2008,55.75.167.163,14/01/2019,1,2.0,Toys,"€21,20",121
687,Rafferty,Korneluk,rkornelukj2@gnu.org,Male,14/04/1957,202.69.130.8,28/01/2019,3,4.0,Grocery,"€23,58",61
263,Dionis,Rown,drown7a@ft.com,Female,26/11/1949,254.35.80.17,13/01/2019,4,5.0,Electronics,"€26,10",40
926,Rosco,Giovanazzi,rgiovanazzipp@netvibes.com,Male,04/04/1934,242.99.190.153,17/01/2019,9,1.0,Baby,"€22,89",2
715,Onida,Shimoni,oshimoniju@fotki.com,Female,13/11/1948,66.118.81.36,29/01/2019,4,5.0,Shoes,"€8,61",114
303,Sterne,Virr,svirr8e@berkeley.edu,Male,07/05/1967,144.210.226.179,17/01/2019,4,,Shoes,"€14,46",110
941,Kile,Da Costa,kdacostaq4@hatena.ne.jp,Male,01/06/1977,60.233.130.220,22/01/2019,9,5.0,Shoes,"€22,93",110
511,Cloe,Dukes,cdukese6@foxnews.com,Female,02/11/1968,61.51.56.208,16/01/2019,3,,Books,"€4,75",21
19,Vern,L'argent,vlargenti@oracle.com,Male,20/07/1986,17.0.94.239,09/01/2019,7,,Shoes,"€0,86",113
685,Ciel,Linn,clinnj0@dropbox.com,Female,23/08/1961,118.63.66.233,09/01/2019,10,2.0,Games,"€24,88",52
865,Tatiana,Marians,tmarianso0@pcworld.com,Female,28/05/1964,219.198.95.247,23/01/2019,5,1.0,Movies,"€13,81",90
704,Tan,Gunningham,tgunninghamjj@shop-pro.jp,Male,12/12/1937,67.136.172.27,23/01/2019,3,5.0,Health,"€2,01",70
341,Kathye,Greeson,kgreeson9g@telegraph.co.uk,Female,31/07/1988,61.12.119.103,09/01/2019,6,,Games,"€11,22",54
615,Ruddie,Lawfull,rlawfullh2@shop-pro.jp,Male,03/10/1937,159.158.189.13,25/01/2019,10,4.0,Books,"€27,61",20
990,Guy,Farmar,gfarmarrh@soup.io,Male,24/04/2014,208.71.176.204,29/01/2019,6,2.0,Electronics,"€26,07",43
778,Sabra,Belshaw,sbelshawll@linkedin.com,Female,18/01/1962,41.156.97.26,18/01/2019,6,,Toys,"€5,15",120
654,Jereme,Earlam,jearlami5@friendfeed.com,Male,05/01/1942,214.241.248.98,13/01/2019,3,4.0,Music,"€1,85",101
601,Domenico,Chaston,dchastongo@economist.com,Male,05/11/1953,22.40.235.237,11/01/2019,3,5.0,Baby,"€2,61",3
54,Osbourn,Slide,oslide1h@dyndns.org,Male,28/11/1975,243.254.94.196,29/01/2019,10,2.0,Movies,"€21,61",93
344,Dari,Monteaux,dmonteaux9j@stanford.edu,Female,09/02/2001,226.230.79.180,16/01/2019,10,3.0,Beauty,"€16,99",10
757,Avictor,Esplin,aesplinl0@macromedia.com,Male,15/10/1981,7.129.177.69,23/01/2019,6,,Games,"€7,44",54
404,Shaine,Buttress,sbuttressb7@go.com,Male,25/03/1969,30.183.33.207,17/01/2019,7,2.0,Books,"€19,88",23
409,Sigrid,Royson,sroysonbc@feedburner.com,Female,30/12/2015,71.121.227.213,20/01/2019,1,3.0,Beauty,"€0,85",12
831,Alvan,Sunock,asunockn2@stanford.edu,Male,14/01/1995,214.89.27.182,28/01/2019,8,3.0,Electronics,"€14,17",40
33,Estele,Caldecott,ecaldecottw@vistaprint.com,Female,07/09/1932,,20/01/2019,2,,Movies,"€21,44",92
480,Rania,Mattingley,rmattingleydb@blogger.com,Female,22/01/1939,146.185.210.177,15/01/2019,1,4.0,Music,"€21,55",103
10,Philippine,Bauldrey,pbauldrey9@google.com.hk,Female,07/07/1985,,28/01/2019,10,2.0,Books,"€17,09",22
373,Ketti,Thunnercliffe,kthunnercliffeac@pagesperso-orange.fr,Female,30/10/1942,238.97.105.96,23/01/2019,8,4.0,Health,"€3,46",71
398,Bradan,La Grange,blagrangeb1@yahoo.com,Male,24/11/2016,199.26.40.130,13/01/2019,1,2.0,Books,"€27,04",22
815,Jordan,Chatainier,jchatainiermm@people.com.cn,Male,02/11/2005,89.234.235.176,16/01/2019,3,,Home,"€17,67",81
777,Oran,MacDiarmond,omacdiarmondlk@deviantart.com,Male,31/10/1966,86.24.116.89,12/01/2019,6,2.0,Clothing,"€12,47",34
533,Erhard,Dorrell,edorrelles@vistaprint.com,Male,03/07/1993,209.34.41.7,25/01/2019,3,,Baby,"€2,26",1
609,Galven,Lingner,glingnergw@google.co.uk,Male,01/04/1949,,15/01/2019,2,,Shoes,"€28,11",114
